Location 1,Location 2,Price,Rooms,Bathrooms,Car Parks,Type,Area (in Square meter),Furnishing
Mont Kiara,Kuala Lumpur,1000000,2,2,0,Built-up,1000,Partly
Cheras,Kuala Lumpur,310000,3,2,0,Built-up,1000,Partly
Kepong,Kuala Lumpur,358000,3,3,0,Built-up,1000,Partly
Taman Desa,Kuala Lumpur,455000,2,2,0,Built-up,1000,Partly
Kepong,Kuala Lumpur,358000,3,3,0,Built-up,1000,Partly
Kepong,Kuala Lumpur,358000,3,3,0,Built-up,10Q00,Partly
Bukit Jalil,Kuala Lumpur,505000,3,2,0,Built-up,1000,Partly
Jalan Klang Lama,Kuala Lumpur,410000,3,2,0,Built-up,1000,Partly
Setapak,Kuala Lumpur,278000,3,2,0,Built-up,1000,Partly
Sentul,Kuala Lumpur,688000,3,2,0,Built-up,1000,Fully
Mont Kiara,Kuala Lumpur,660000,2,2,0,Built-up,1000,Fully
Jalan Klang Lama,Kuala Lumpur,338000,3,2,0,Built-up,1000,Partly
Damansara Heights,Kuala Lumpur,18000000,12,10,0,Built-up,1000,Partly
Jalan Klang Lama,Kuala Lumpur,400000,3,2,0,Built-up,1000,Unfurnished
Cheras,Kuala Lumpur,390000,3,2,0,Built-up,1000,Partly
Desa ParkCity,Kuala Lumpur,909000,2,2,0,Built-up,1001,Unfurnished
Mont Kiara,Kuala Lumpur,1140000,2,0,0,Built-up,1001,Fully
Setapak,Kuala Lumpur,420000,3,2,0,Built-up,1001,Partly
Keramat,Kuala Lumpur,500000,3,2,0,Built-up,1003,Partly
Sentul,Kuala Lumpur,370000,3,2,0,Built-up,1005,Fully
Taman Melawati,Kuala Lumpur,480000,3,2,0,Built-up,1007,Partly
Taman Melawati,Kuala Lumpur,540000,3,2,0,Built-up,1007,Partly
Taman Melawati,Kuala Lumpur,530000,3,2,0,Built-up,1007,Partly
Taman Melawati,Kuala Lumpur,500000,3,2,0,Built-up,1007,Partly
Taman Melawati,Kuala Lumpur,480000,3,2,0,Built-up,1007,Partly
Taman Melawati,Kuala Lumpur,520000,3,2,0,Built-up,1007,Partly
Taman Melawati,Kuala Lumpur,500000,3,2,0,Built-up,1007,Unfurnished
Cheras,Kuala Lumpur,430000,3,2,0,Built-up,1008,Unfurnished
Segambut,Kuala Lumpur,355000,3,2,0,Built-up,1008,Partly
Jalan Klang Lama,Kuala Lumpur,400000,3,2,0,Built-up,1008,Fully
Taman Melawati,Kuala Lumpur,500000,3,2,0,Built-up,1009,Unfurnished
Setapak,Kuala Lumpur,395000,3,2,0,Built-up,1009,Unfurnished
Mont Kiara,Kuala Lumpur,498200,3,2,0,Built-up,1010,Partly
Jalan Klang Lama,Kuala Lumpur,405000,3,2,0,Built-up,1010,Partly
Cheras,Kuala Lumpur,560000,3,3,0,Built-up,1010,Unfurnished
Cheras,Kuala Lumpur,555000,3,2,0,Built-up,1010,Unfurnished
KLCC,Kuala Lumpur,1400000,2,2,0,Built-up,1011,Fully
Cheras,Kuala Lumpur,388000,4,2,0,Built-up,1011,Unfurnished
Setapak,Kuala Lumpur,595764,3,2,0,Built-up,1012,Unfurnished
Setapak,Kuala Lumpur,578000,3,2,0,Built-up,1012,Partly
Cheras,Kuala Lumpur,440000,3,2,0,Built-up,1012,Partly
KLCC,Kuala Lumpur,1300000,2,2,0,Built-up,1012,Fully
Jalan Kuching,Kuala Lumpur,618000,3,3,0,Built-up,1015,Partly
